NUM,FECHA,PERSONA,TEMA,ARCHIVO,UBICACION_ORIGINAL,EXT,TAM_KB
039,2026-08-14,MARC,Chat/Audios,PTT-20260814-WA0137.txt,MARC\Chat de WhatsApp con MARC\transcripts\PTT-20260814-WA0137.txt,.txt,0.6
040,2026-08-14,MARC,Chat/Audios,PTT-20260814-WA0170.txt,MARC\Chat de WhatsApp con MARC\transcripts\PTT-20260814-WA0170.txt,.txt,0.6
041,2026-08-14,MARC,Chat/Audios,PTT-20260814-WA0184.txt,MARC\Chat de WhatsApp con MARC\transcripts\PTT-20260814-WA0184.txt,.txt,0.3
042,2026-08-14,MARC,Chat/Audios,PTT-20260814-WA0188.txt,MARC\Chat de WhatsApp con MARC\transcripts\PTT-20260814-WA0188.txt,.txt,0.0
043,2026-08-15 (mtime),AURORA,Auditoría,01_AUDITORIA_COMPLETA_AURORA.md,AURORA\00_AUDITORIA_MAESTRA\01_AUDITORIA_COMPLETA_AURORA.md,.md,0.8
044,2026-08-15 (mtime),AURORA,Auditoría,01_INVENTARIO_DOCUMENTAL.md,AURORA\00_AUDITORIA_MAESTRA\01_INVENTARIO_DOCUMENTAL.md,.md,0.9
045,2026-08-15 (mtime),AURORA,Auditoría,02_AUDITORIA_DE_MARC.md,AURORA\00_AUDITORIA_MAESTRA\02_AUDITORIA_DE_MARC.md,.md,0.4
046,2026-08-15 (mtime),AURORA,Auditoría,03_MAPA_DEL_NEGOCIO_AURORA.md,AURORA\00_AUDITORIA_MAESTRA\03_MAPA_DEL_NEGOCIO_AURORA.md,.md,0.5
047,2026-08-15 (mtime),AURORA,Auditoría,04_MAPA_DE_MARKETING_AURORA.md,AURORA\00_AUDITORIA_MAESTRA\04_MAPA_DE_MARKETING_AURORA.md,.md,0.3
048,2026-08-15 (mtime),AURORA,Auditoría,04_MARKETING.md,AURORA\00_AUDITORIA_MAESTRA\04_MARKETING.md,.md,0.3
049,2026-08-15 (mtime),AURORA,Auditoría,05_MAPA_DEL_EMBUDO_AURORA.md,AURORA\00_AUDITORIA_MAESTRA\05_MAPA_DEL_EMBUDO_AURORA.md,.md,0.3
050,2026-08-15 (mtime),AURORA,Auditoría,05_VENTAS.md,AURORA\00_AUDITORIA_MAESTRA\05_VENTAS.md,.md,0.5
051,2026-08-15 (mtime),AURORA,Auditoría,06_EMBUDO.md,AURORA\00_AUDITORIA_MAESTRA\06_EMBUDO.md,.md,0.4
052,2026-08-15 (mtime),AURORA,Auditoría,06_MAPA_DE_AUTOMATIZACIONES_AURORA.md,AURORA\00_AUDITORIA_MAESTRA\06_MAPA_DE_AUTOMATIZACIONES_AURORA.md,.md,0.3
053,2026-08-15 (mtime),AURORA,Auditoría,07_AUDITORIA_DE_HERRAMIENTAS_AURORA.md,AURORA\00_AUDITORIA_MAESTRA\07_AUDITORIA_DE_HERRAMIENTAS_AURORA.md,.md,0.4
054,2026-08-15 (mtime),AURORA,Auditoría,07_AUTOMATIZACIONES.md,AURORA\00_AUDITORIA_MAESTRA\07_AUTOMATIZACIONES.md,.md,0.4
055,2026-08-15 (mtime),AURORA,Auditoría,08_AUDITORIA_FINANCIERA_AURORA.md,AURORA\00_AUDITORIA_MAESTRA\08_AUDITORIA_FINANCIERA_AURORA.md,.md,0.2
056,2026-08-15 (mtime),AURORA,Auditoría,08_IA_Y_TECNOLOGIA.md,AURORA\00_AUDITORIA_MAESTRA\08_IA_Y_TECNOLOGIA.md,.md,0.4
057,2026-08-15 (mtime),AURORA,Contrato,09_AUDITORIA_CONTRACTUAL_AURORA.md,AURORA\00_AUDITORIA_MAESTRA\09_AUDITORIA_CONTRACTUAL_AURORA.md,.md,0.3
058,2026-08-15 (mtime),AURORA,Auditoría,09_HERRAMIENTAS_Y_ACCESOS.md,AURORA\00_AUDITORIA_MAESTRA\09_HERRAMIENTAS_Y_ACCESOS.md,.md,0.4
059,2026-08-15 (mtime),AURORA,Auditoría,10_KPI_Y_METRICAS_AURORA.md,AURORA\00_AUDITORIA_MAESTRA\10_KPI_Y_METRICAS_AURORA.md,.md,0.2
060,2026-08-15 (mtime),AURORA,Contrato,11_CONTRATOS_Y_RESPONSABILIDADES.md,AURORA\00_AUDITORIA_MAESTRA\11_CONTRATOS_Y_RESPONSABILIDADES.md,.md,0.3
061,2026-08-15 (mtime),AURORA,Auditoría,11_RIESGOS_AURORA.md,AURORA\00_AUDITORIA_MAESTRA\11_RIESGOS_AURORA.md,.md,0.4
062,2026-08-15 (mtime),AURORA,Auditoría,12_KPIS_Y_METRICAS.md,AURORA\00_AUDITORIA_MAESTRA\12_KPIS_Y_METRICAS.md,.md,0.2
063,2026-08-15 (mtime),AURORA,Auditoría,12_OPORTUNIDADES_AURORA.md,AURORA\00_AUDITORIA_MAESTRA\12_OPORTUNIDADES_AURORA.md,.md,0.4
064,2026-08-15 (mtime),AURORA,Auditoría,13_PREGUNTAS_PARA_AURORA.md,AURORA\00_AUDITORIA_MAESTRA\13_PREGUNTAS_PARA_AURORA.md,.md,0.5
065,2026-08-15 (mtime),AURORA,Auditoría,13_PROBLEMAS_Y_RIESGOS.md,AURORA\00_AUDITORIA_MAESTRA\13_PROBLEMAS_Y_RIESGOS.md,.md,0.4
066,2026-08-15 (mtime),AURORA,Auditoría,14_OPORTUNIDADES.md,AURORA\00_AUDITORIA_MAESTRA\14_OPORTUNIDADES.md,.md,0.5
067,2026-08-15 (mtime),AURORA,Auditoría,14_PLAN_30_60_90_AURORA.md,AURORA\00_AUDITORIA_MAESTRA\14_PLAN_30_60_90_AURORA.md,.md,0.5
068,2026-08-15 (mtime),AURORA,Auditoría,15_PREGUNTAS_PENDIENTES.md,AURORA\00_AUDITORIA_MAESTRA\15_PREGUNTAS_PENDIENTES.md,.md,0.6
069,2026-08-15 (mtime),AURORA,Escala/Reuniones,15_REUNION_BRIEF_AURORA.md,AURORA\00_AUDITORIA_MAESTRA\15_REUNION_BRIEF_AURORA.md,.md,0.4
